"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2013","3.560","3.601","3.820","3.402","2.05M","-0.59%"
"08/01/2013","3.581","3.452","3.655","3.129","2.62M","3.92%"
"07/01/2013","3.446","3.547","3.835","3.413","2.16M","-3.34%"
"06/01/2013","3.565","3.963","4.040","3.526","2.45M","-10.52%"
"05/01/2013","3.984","4.340","4.444","3.883","2.59M","-8.27%"
"04/01/2013","4.343","3.969","4.429","3.861","3.45M","7.93%"
"03/01/2013","4.024","3.491","4.121","3.408","2.75M","15.43%"
"02/01/2013","3.486","3.328","3.554","3.125","2.61M","4.40%"
"01/01/2013","3.339","3.348","3.645","3.050","2.63M","-0.36%"
"12/01/2012","3.351","3.553","3.748","3.261","2.50M","-5.90%"
"11/01/2012","3.561","3.692","3.933","3.470","2.30M","-3.55%"
"10/01/2012","3.692","3.325","3.820","3.325","3.55M","11.20%"
"09/01/2012","3.320","2.806","3.330","2.647","2.81M","18.61%"
"08/01/2012","2.799","3.217","3.241","2.575","3.31M","-12.78%"
"07/01/2012","3.209","2.804","3.277","2.718","2.72M","13.63%"
"06/01/2012","2.824","2.408","2.946","2.168","3.10M","16.60%"
"05/01/2012","2.422","2.311","2.759","2.236","3.18M","6.00%"
"04/01/2012","2.285","2.122","2.320","1.902","2.44M","7.48%"
"03/01/2012","2.126","2.593","2.597","2.101","2.47M","-18.73%"
"02/01/2012","2.616","2.465","2.733","2.340","3.23M","4.51%"
"01/01/2012","2.503","2.969","3.123","2.231","3.12M","-16.26%"
"12/01/2011","2.989","3.575","3.689","2.957","2.30M","-15.80%"
"11/01/2011","3.550","3.932","3.955","3.285","2.41M","-9.76%"
"10/01/2011","3.934","3.643","3.978","3.446","2.74M","7.31%"
"09/01/2011","3.666","4.060","4.130","3.651","2.47M","-9.57%"
"08/01/2011","4.054","4.135","4.230","3.780","2.54M","-2.20%"
"07/01/2011","4.145","4.372","4.612","4.064","2.10M","-5.24%"
"06/01/2011","4.374","4.655","4.983","4.154","2.68M","-6.26%"
"05/01/2011","4.666","4.685","4.729","4.077","2.41M","-0.68%"
"04/01/2011","4.698","4.405","4.705","3.990","2.64M","7.04%"
"03/01/2011","4.389","4.050","4.480","3.731","2.85M","8.72%"
"02/01/2011","4.037","4.417","4.496","3.775","2.38M","-8.67%"
"01/01/2011","4.420","4.492","4.879","4.252","2.51M","0.34%"
"12/01/2010","4.405","4.196","4.637","3.951","2.62M","5.38%"
"11/01/2010","4.180","4.031","4.487","3.710","2.49M","3.52%"
"10/01/2010","4.038","3.861","4.075","3.212","2.41M","4.29%"
"09/01/2010","3.872","3.790","4.144","3.697","2.33M","1.47%"
"08/01/2010","3.816","4.988","5.007","3.620","2.25M","-22.49%"
"07/01/2010","4.923","4.636","4.937","4.288","2.15M","6.65%"
"06/01/2010","4.616","4.350","5.196","4.217","2.53M","6.33%"
"05/01/2010","4.341","3.935","4.494","3.855","1.90M","10.74%"
"04/01/2010","3.920","3.874","4.386","3.810","2.50M","1.32%"
"03/01/2010","3.869","4.772","4.869","3.820","1.92M","-19.61%"
"02/01/2010","4.813","5.247","5.680","4.739","2.06M","-6.20%"
"01/01/2010","5.131","5.705","6.108","5.060","2.01M","-7.91%"
"12/01/2009","5.572","4.820","6.035","4.432","2.42M","14.93%"
"11/01/2009","4.848","5.034","5.290","4.157","2.14M","-3.90%"
"10/01/2009","5.045","4.825","5.318","4.230","2.80M","4.21%"
"09/01/2009","4.841","2.984","4.975","2.409","2.90M","62.61%"
"08/01/2009","2.977","3.632","4.162","2.692","2.12M","-18.51%"
"07/01/2009","3.653","3.849","3.904","3.225","2.00M","-4.75%"
"06/01/2009","3.835","3.869","4.387","3.550","2.27M","0.00%"
"05/01/2009","3.835","3.393","4.575","3.361","1.77M","13.70%"
"04/01/2009","3.373","3.791","3.904","3.155","1.15M","-10.67%"
"03/01/2009","3.776","4.274","4.424","3.600","1.47M","-10.05%"
"02/01/2009","4.198","4.315","4.880","3.916","1.31M","-4.96%"
"01/01/2009","4.417","5.550","6.240","4.359","1.04M","-21.43%"
"12/01/2008","5.622","6.550","6.685","5.210","1.10M","-13.64%"
"11/01/2008","6.510","6.693","7.360","6.054","1.21M","-4.02%"
"10/01/2008","6.783","7.518","7.938","5.990","1.41M","-8.81%"
"09/01/2008","7.438","8.094","8.320","7.023","1.69M","-6.36%"
"08/01/2008","7.943","9.123","9.600","7.617","1.84M","-12.90%"
"07/01/2008","9.119","13.374","13.694","8.810","2.09M","-31.71%"
"06/01/2008","13.353","11.791","13.448","11.633","1.68M","14.10%"
"05/01/2008","11.703","10.920","12.085","10.480","1.74M","7.93%"
"04/01/2008","10.843","10.033","11.360","9.290","1.72M","7.35%"
"03/01/2008","10.101","9.387","10.294","8.664","1.51M","7.85%"
"02/01/2008","9.366","8.065","9.498","7.580","1.46M","16.00%"
"01/01/2008","8.074","7.572","8.481","7.500","1.18M","7.90%"
"12/01/2007","7.483","7.209","7.540","6.838","1.02M","2.48%"
"11/01/2007","7.302","8.373","8.712","7.180","1.10M","-12.34%"
"10/01/2007","8.330","6.860","8.475","6.640","1.48M","21.25%"
"09/01/2007","6.870","5.440","7.039","5.249","1.26M","25.64%"
"08/01/2007","5.468","6.201","7.192","5.192","1.40M","-11.68%"
"07/01/2007","6.191","6.720","6.849","5.754","1.09M","-8.59%"
"06/01/2007","6.773","7.955","8.210","6.551","1.24M","-14.64%"
"05/01/2007","7.935","7.833","8.230","7.489","1.13M","0.92%"
"04/01/2007","7.863","7.768","8.010","7.250","1.02M","1.72%"
"03/01/2007","7.730","7.218","7.770","6.812","915.46K","5.89%"
"02/01/2007","7.300","7.705","8.035","7.050","1.14M","-4.79%"
"01/01/2007","7.667","6.205","7.966","6.030","1.15M","21.72%"
"12/01/2006","6.299","8.732","8.749","5.740","852.36K","-28.78%"
